תאריך,יום,שעה (עגולה),מספר קו,שם הקו,route_id,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
05/01/2024,שישי,00:00,174,מסוף רדינג/רציפים-תל אביב יפו<->ת. מרכזית רחובות/רציפים-רחובות-18,17214,1,8,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,רחובות,ת. מרכזית רחובות/רציפים,58,29.822,00:30:00,01:47:59,78,77,-1,22.9,23.2,58601810
05/01/2024,שישי,00:00,489,מסוף רדינג/רציפים-תל אביב יפו<->המנור/הרוקמים-חולון-2#,13763,2,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,חולון,המנור/הרוקמים,39,13.907,00:30:00,01:25:59,56,60,4,14.9,13.9,58601812
05/01/2024,שישי,00:00,445,מסוף רדינג/רציפים-תל אביב יפו<->נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון-10,25365,1,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,נמל תעופה בן גוריון,נתב''ג טרמינל 3/קומת תח''צ,22,24.908,00:30:00,01:24:11,54,49,-5,27.7,30.5,58601814
05/01/2024,שישי,00:00,480,מסוף רדינג/רציפים-תל אביב יפו<->ממילא/קריב-ירושלים-1ק,7022,1,ק,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ירושלים,ממילא/קריב,19,60.628,00:30:00,01:49:59,80,77,-3,45.5,47.2,58601818
05/01/2024,שישי,00:00,273,מסוף רדינג/רציפים-תל אביב יפו<->בית עלמין/שדרות בן גוריון-גדרה-1#,3529,1,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גדרה,בית עלמין/שדרות בן גוריון,99,45.377,00:30:00,02:38:59,129,111,-18,21.1,24.5,58601820
05/01/2024,שישי,00:00,4,מסוף הטייסים-תל אביב יפו<->מסוף רדינג/הורדה-תל אביב יפו-20,2256,2,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,מסוף רדינג/הורדה,34,10.239,00:30:00,01:06:34,37,32,-5,16.6,19.2,58601822
05/01/2024,שישי,00:00,4,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,2255,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,תל אביב יפו,מסוף הטייסים,33,10.605,00:30:00,01:06:59,37,48,11,17.2,13.3,58601823
05/01/2024,שישי,00:00,230,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,7728,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,59,30.255,00:30:00,02:06:31,97,70,-27,18.7,25.9,58601832
05/01/2024,שישי,00:00,445,נתב''ג טרמינל 3/קומת תח''צ-נמל תעופה בן גוריון<->מסוף רדינג/הורדה-תל אביב יפו-20,25366,2,0,מטרופולין,אוטובוס,נמל תעופה בן גוריון,נתב''ג טרמינל 3/קומת תח''צ,תל אביב יפו,מסוף רדינג/הורדה,22,24.073,00:30:00,01:21:59,52,40,-12,27.8,36.1,58601839
05/01/2024,שישי,00:00,469,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת.מרכזית באר שבע/הורדה-באר שבע-1#,13581,1,#,מטרופולין,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,באר שבע,ת.מרכזית באר שבע/הורדה,27,108.003,00:45:00,03:07:53,143,120,-23,45.3,54.0,58601851
