,תאריך,יום,שעה (עגולה),מספר קו,שם הקו,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
90443,11/01/2024,חמישי,05:00,61,מסוף עמידר-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,מסוף עמידר,תל אביב יפו,מסוף כרמלית/הורדה,35.0,11.29,05:10:00,05:49:59,40,62.0,22.0,16.9,10.9,59149040
27411,08/01/2024,שני,17:00,23,מסוף כרמלית-תל אביב יפו<->מסוף כורזין-גבעתיים-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף כרמלית,גבעתיים,מסוף כורזין,26.0,7.488,17:56:00,18:29:40,34,41.0,7.0,13.2,11.0,58778593
43535,08/01/2024,שני,14:00,20,מסוף אזורי חן-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף אזורי חן,פתח תקווה,בית רבקה,58.0,20.419,14:40:00,15:43:16,63,100.0,37.0,19.4,12.3,58871995
47079,08/01/2024,שני,18:00,480,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-3#,3.0,#,אגד,אוטובוס,ירושלים,ת. מרכזית ירושלים קומה 3/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,3.0,51.631,18:25:00,19:13:50,49,48.0,-1.0,63.2,64.5,58894940
2371,05/01/2024,שישי,06:00,186,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->אוניברסיטת אריאל/כביש 31-אריאל-2#,2.0,#,תנופה,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,אריאל,אוניברסיטת אריאל/כביש 31,67.0,50.199,06:20:00,07:56:46,97,111.0,14.0,31.1,27.1,58616730
41451,08/01/2024,שני,12:00,160,הרב שלמה גורן/מבטחים-גבעת שמואל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,גבעת שמואל,הרב שלמה גורן/מבטחים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,36.0,12.814,12:55:00,13:41:21,46,80.0,34.0,16.7,9.6,58859703
67241,09/01/2024,שלישי,19:00,7,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->מסוף וולפסון-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,חולון,מסוף וולפסון,53.0,16.716,19:30:00,20:23:59,54,58.0,4.0,18.6,17.3,59013895
34472,08/01/2024,שני,06:00,156,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->שער ירושלים / 4313-באר יעקב-10,1.0,0,קווים,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,באר יעקב,שער ירושלים / 4313,15.0,14.551,06:36:00,07:00:25,24,38.0,14.0,36.4,23.0,58818382
77771,10/01/2024,רביעי,10:00,19,מסוף כרמלית/הכרמל-תל אביב יפו<->מסוף אבי האסירים-ראשון לציון-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,ראשון לציון,מסוף אבי האסירים,41.0,16.935,10:59:00,11:55:59,57,70.0,13.0,17.8,14.5,59073859
83835,10/01/2024,רביעי,16:00,405,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-3#,3.0,#,אגד,אוטובוס,ירושלים,ת. מרכזית ירושלים קומה 3/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,4.0,51.238,16:20:00,17:08:59,49,59.0,10.0,62.7,52.1,59110654
