,תאריך,יום,שעה (עגולה),מספר קו,שם הקו,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
77448,10/01/2024,רביעי,10:00,288,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->אוניברסיטת אריאל/כביש 31-אריאל-2#,2.0,#,תנופה,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,אריאל,אוניברסיטת אריאל/כביש 31,51.0,49.759,10:40:00,12:04:36,85,113.0,28.0,35.1,26.4,59071967
77598,10/01/2024,רביעי,10:00,82,הכובשים/דניאל-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,פתח תקווה,בית רבקה,44.0,15.191,10:46:00,11:33:59,48,79.0,31.0,19.0,11.5,59072839
95674,11/01/2024,חמישי,09:00,238,הכובשים/דניאל-תל אביב יפו<->דרך מנחם בגין/קופת חולים-פתח תקווה-20,2.0,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,פתח תקווה,דרך מנחם בגין/קופת חולים,47.0,19.82,09:35:00,10:35:59,61,90.0,29.0,19.5,13.2,59179960
86510,10/01/2024,רביעי,19:00,186,מגרש כדורגל-אריאל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-1#,1.0,#,תנופה,אוטובוס,אריאל,מגרש כדורגל,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,59.0,49.513,19:30:00,21:05:21,95,80.0,-15.0,31.3,37.1,59127904
84011,10/01/2024,רביעי,16:00,13,בי''ח וולפסון-חולון<->בית ברבור/דרך ההגנה-תל אביב יפו-2#,2.0,#,מטרופולין,אוטובוס,חולון,בי''ח וולפסון,תל אביב יפו,בית ברבור/דרך ההגנה,44.0,12.751,16:30:00,17:26:59,57,72.0,15.0,13.4,10.6,59111899
52539,09/01/2024,שלישי,05:00,40,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון אגד/חורשת היובל,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,47.0,18.185,05:40:00,06:37:06,57,85.0,28.0,19.1,12.8,58925300
15923,08/01/2024,שני,07:00,73,מסוף כרמלית-תל אביב יפו<->חניון תמנע/תמנע-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף כרמלית,חולון,חניון תמנע/תמנע,51.0,16.344,07:20:00,08:17:59,58,70.0,12.0,16.9,14.0,58708876
58440,09/01/2024,שלישי,10:00,286,מגרש כדורגל-אריאל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-1#,1.0,#,תנופה,אוטובוס,אריאל,מגרש כדורגל,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,43.0,48.815,10:30:00,11:49:03,79,49.0,-30.0,37.1,59.8,58959016
56823,09/01/2024,שלישי,09:00,125,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קריית חינוך-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,קריית חינוך,57.0,19.918,09:20:00,10:26:38,67,57.0,-10.0,17.8,21.0,58950173
38778,08/01/2024,שני,10:00,2,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו<->משמר הירדן/טורקוב-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,תל אביב יפו,משמר הירדן/טורקוב,51.0,17.727,10:35:00,11:33:59,59,80.0,21.0,18.0,13.3,58843588
7117,05/01/2024,שישי,12:00,31,מסוף כרמלית-תל אביב יפו<->יוסף לוי/הכובשים-תל אביב יפו-12,1.0,2,דן,אוטובוס,תל אביב יפו,מסוף כרמלית,תל אביב יפו,יוסף לוי/הכובשים,62.0,22.25,12:00:00,13:23:59,84,131.0,47.0,15.9,10.2,58649494
91450,11/01/2024,חמישי,05:00,63,מסוף אלוף שדה-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,מסוף אלוף שדה,תל אביב יפו,מסוף כרמלית/הורדה,33.0,11.318,05:54:00,06:34:59,41,77.0,36.0,16.6,8.8,59155016
13995,08/01/2024,שני,05:00,82,בית רבקה-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,בית רבקה,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.539,05:37:00,06:24:59,48,98.0,50.0,19.4,9.5,58697476
57708,09/01/2024,שלישי,10:00,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,10:08:00,11:06:59,59,79.0,20.0,17.9,13.3,58955336
23604,08/01/2024,שני,14:00,39,מסוף עמידר-רמת גן<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,מסוף עמידר,תל אביב יפו,מסוף רדינג/הורדה,36.0,11.701,14:05:00,14:45:59,41,75.0,34.0,17.1,9.4,58754358
32874,08/01/2024,שני,05:00,18,ת.רכבת תל אביב - סבידור/רציפים C-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.רכבת תל אביב - סבידור/רציפים C,בת ים,מסוף בית העלמין/הורדה,44.0,13.55,05:21:00,06:05:40,45,59.0,14.0,18.1,13.8,58808908
90581,11/01/2024,חמישי,05:00,74,מסוף רדינג/רציפים-תל אביב יפו<->ת. רכבת הראשונים-ראשון לציון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ראשון לציון,ת. רכבת הראשונים,38.0,19.805,05:15:00,06:04:59,50,65.0,15.0,23.8,18.3,59149793
65849,09/01/2024,שלישי,17:00,289,חניון תמנע-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון תמנע,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,54.0,20.539,17:45:00,18:52:43,68,71.0,3.0,18.1,17.4,59005092
49796,09/01/2024,שלישי,03:00,249,מסוף כרמלית-תל אביב יפו<->תחנה מרכזית כפ''ס/הורדה-כפר סבא-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית,כפר סבא,תחנה מרכזית כפ''ס/הורדה,39.0,28.247,03:30:00,04:28:31,59,49.0,-10.0,28.7,34.6,58910419
60804,09/01/2024,שלישי,13:00,826,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->חניון נוף הגליל-נוף הגליל-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,נוף הגליל,חניון נוף הגליל,75.0,113.69,13:00:00,15:14:59,135,235.0,100.0,50.5,29.0,58973820
91993,11/01/2024,חמישי,06:00,161,קהילות יעקב/רבי יוסף צבי רימון-בני ברק<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,בני ברק,קהילות יעקב/רבי יוסף צבי רימון,תל אביב יפו,מסוף כרמלית/הורדה,38.0,11.849,06:20:00,07:04:01,44,87.0,43.0,16.2,8.2,59158275
91018,11/01/2024,חמישי,05:00,7,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->מסוף וולפסון-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,חולון,מסוף וולפסון,53.0,16.716,05:34:00,06:27:59,54,80.0,26.0,18.6,12.5,59152499
31631,08/01/2024,שני,04:00,55,מסוף רדינג/רציפים-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,קרית אונו,מסוף קרית אונו,53.0,17.077,04:30:00,05:27:08,57,69.0,12.0,18.0,14.8,58802021
19083,08/01/2024,שני,10:00,66,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.464,10:10:00,10:59:06,49,74.0,25.0,18.9,12.5,58727038
73381,10/01/2024,רביעי,07:00,61,מסוף עמידר-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,מסוף עמידר,תל אביב יפו,מסוף כרמלית/הורדה,35.0,11.29,07:00:00,07:39:59,40,83.0,43.0,16.9,8.2,59048223
73114,10/01/2024,רביעי,06:00,61,הכובשים/דניאל-תל אביב יפו<->מסוף עמידר-רמת גן-13,1.0,3,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,רמת גן,מסוף עמידר,35.0,10.789,06:42:00,07:18:59,37,64.0,27.0,17.5,10.1,59046614
30188,08/01/2024,שני,02:00,469,ת.מרכזית באר שבע/רציפים בינעירוני-באר שבע<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,2.0,#,מטרופולין,אוטובוס,באר שבע,ת.מרכזית באר שבע/רציפים בינעירוני,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29.0,110.53,02:15:00,04:35:59,141,119.0,-22.0,47.0,55.7,58795379
77940,10/01/2024,רביעי,11:00,14,משרד הרישוי/הלוחמים-חולון<->קאנטרי דקל-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,קאנטרי דקל,39.0,11.373,11:05:00,11:49:59,45,62.0,17.0,15.2,11.0,59074957
42596,08/01/2024,שני,13:00,53,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->קהילות יעקב/רבי יוסף צבי רימון-בני ברק-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,בני ברק,קהילות יעקב/רבי יוסף צבי רימון,27.0,9.604,13:52:00,14:24:59,33,73.0,40.0,17.5,7.9,58866176
86609,10/01/2024,רביעי,19:00,45,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,רמת גן,איצטדיון וינטר,34.0,11.963,19:40:00,20:18:51,39,44.0,5.0,18.4,16.3,59128612
71209,10/01/2024,רביעי,05:00,72,חניון אגד/חורשת היובל-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון אגד/חורשת היובל,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,41.0,14.753,05:12:00,05:59:59,48,76.0,28.0,18.4,11.6,59035115
52496,09/01/2024,שלישי,05:00,172,מסוף רדינג/רציפים-תל אביב יפו<->חניון תמנע-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,חולון,חניון תמנע,53.0,17.211,05:37:00,06:35:59,59,99.0,40.0,17.5,10.4,58925046
64487,09/01/2024,שלישי,16:00,82,בית רבקה-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,בית רבקה,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.539,16:15:00,17:02:59,48,78.0,30.0,19.4,12.0,58996195
31735,08/01/2024,שני,04:00,375,מלכי ישראל/דרך הדרום-קרית גת<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,2.0,#,מטרופולין,אוטובוס,קרית גת,מלכי ישראל/דרך הדרום,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,13.0,61.413,04:30:00,05:24:44,55,82.0,27.0,67.0,44.9,58802566
5581,05/01/2024,שישי,10:00,18,ת.רכבת תל אביב - סבידור/רציפים C-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.רכבת תל אביב - סבידור/רציפים C,בת ים,מסוף בית העלמין/הורדה,44.0,13.55,10:10:00,10:54:40,45,83.0,38.0,18.1,9.8,58638352
48851,08/01/2024,שני,21:00,271,מסוף קריית שרת-חולון<->קלצ'קין-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,חולון,מסוף קריית שרת,תל אביב יפו,קלצ'קין,40.0,17.087,21:00:00,21:47:59,48,48.0,0.0,21.4,21.4,58905655
32325,08/01/2024,שני,05:00,242,מסוף בית העלמין/איסוף-בת ים<->מסוף עתידים-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף עתידים,12.0,17.849,05:00:00,05:36:59,37,49.0,12.0,28.9,21.9,58805677
20546,08/01/2024,שני,11:00,575,תחנה מרכזית כפ''ס/רציפים-כפר סבא<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,כפר סבא,תחנה מרכזית כפ''ס/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,27.0,22.012,11:30:00,12:13:09,43,49.0,6.0,30.7,27.0,58735759
4510,05/01/2024,שישי,08:00,8,מסוף הטייסים-תל אביב יפו<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,קלצ'קין,40.0,13.584,08:55:00,09:47:59,53,79.0,26.0,15.4,10.3,58630790
100296,11/01/2024,חמישי,13:00,412,אליהו הנביא/הרב שלמה זלמן אויערבך-בית שמש<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-10,1.0,0,בית שמש אקספרס,אוטובוס,בית שמש,אליהו הנביא/הרב שלמה זלמן אויערבך,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,48.0,55.131,13:40:00,14:53:59,74,120.0,46.0,44.7,27.6,59208226
86763,10/01/2024,רביעי,19:00,33,איצטדיון וינטר-רמת גן<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,איצטדיון וינטר,תל אביב יפו,מסוף רדינג/הורדה,41.0,14.839,19:55:00,20:51:00,56,50.0,-6.0,15.9,17.8,59129606
12060,08/01/2024,שני,04:00,270,ת. מרכזית רשל''צ/רציפים-ראשון לציון<->מסוף רדינג/הורדה-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,ראשון לציון,ת. מרכזית רשל''צ/רציפים,תל אביב יפו,מסוף רדינג/הורדה,36.0,21.206,04:20:00,05:08:50,49,66.0,17.0,26.0,19.3,58686778
6650,05/01/2024,שישי,11:00,26,קריית חינוך-תל אביב יפו<->חניון אגד/דן שומרון-חולון-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,קריית חינוך,חולון,חניון אגד/דן שומרון,47.0,20.464,11:30:00,12:35:09,65,81.0,16.0,18.9,15.2,58646064
41677,08/01/2024,שני,13:00,608,ת. רכבת נתניה-נתניה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-11,1.0,1,מטרופולין,אוטובוס,נתניה,ת. רכבת נתניה,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,43.0,35.28,13:05:00,14:21:50,77,73.0,-4.0,27.5,29.0,58861009
104164,11/01/2024,חמישי,17:00,312,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית אשדוד-אשדוד-2#,2.0,#,אלקטרה אפיקים,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,אשדוד,ת. מרכזית אשדוד,26.0,38.783,17:30:00,18:24:59,55,47.0,-8.0,42.3,49.5,59232809
9694,06/01/2024,שבת,19:00,2,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו<->משמר הירדן/טורקוב-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,תל אביב יפו,משמר הירדן/טורקוב,51.0,17.727,19:55:00,20:53:59,59,60.0,1.0,18.0,17.7,58673583
81806,10/01/2024,רביעי,14:00,173,ת. מרכזית רשל''צ/רציפים-ראשון לציון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,1.0,#,אגד,אוטובוס,ראשון לציון,ת. מרכזית רשל''צ/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,37.0,18.857,14:30:00,15:19:59,50,75.0,25.0,22.6,15.1,59097985
32684,08/01/2024,שני,05:00,25,חניון אגד/חורשת היובל-חולון<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון אגד/חורשת היובל,תל אביב יפו,קלצ'קין,59.0,20.087,05:13:00,06:21:38,69,104.0,35.0,17.5,11.6,58807683
63068,09/01/2024,שלישי,14:00,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,14:55:00,15:53:59,59,97.0,38.0,17.9,10.9,58987362
24626,08/01/2024,שני,15:00,451,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->קניון צ. רמלה לוד/דוכיפת-רמלה-22,2.0,2,קווים,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,רמלה,קניון צ. רמלה לוד/דוכיפת,37.0,22.609,15:00:00,15:44:59,45,61.0,16.0,30.1,22.2,58760690
80833,10/01/2024,רביעי,13:00,62,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,תל אביב יפו,מסוף רדינג/הורדה,31.0,13.82,13:25:00,14:12:51,48,75.0,27.0,17.3,11.1,59092484
63523,09/01/2024,שלישי,15:00,8,מסוף הטייסים-תל אביב יפו<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,קלצ'קין,40.0,13.584,15:18:00,16:10:59,53,74.0,21.0,15.4,11.0,58990122
2785,05/01/2024,שישי,06:00,4,מסוף הטייסים-תל אביב יפו<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,מסוף רדינג/הורדה,34.0,10.239,06:48:00,07:24:34,37,48.0,11.0,16.6,12.8,58619388
46130,08/01/2024,שני,17:00,82,הכובשים/דניאל-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,פתח תקווה,בית רבקה,44.0,15.191,17:16:00,18:03:59,48,72.0,24.0,19.0,12.7,58888620
101199,11/01/2024,חמישי,14:00,264,מסוף עתידים-תל אביב יפו<->ת. מרכזית ראשל''צ-ראשון לציון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,מסוף עתידים,ראשון לציון,ת. מרכזית ראשל''צ,45.0,26.312,14:30:00,15:26:59,57,79.0,22.0,27.7,20.0,59213876
66264,09/01/2024,שלישי,18:00,17,מסוף עתידים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף עתידים,גבעת שמואל,הרב שלמה גורן/מבטחים,37.0,10.584,18:10:00,18:40:59,31,48.0,17.0,20.5,13.2,59007899
100480,11/01/2024,חמישי,13:00,66,הכובשים/דניאל-תל אביב יפו<->ת. מרכזית פ''ת/הורדה-פתח תקווה-20,2.0,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,פתח תקווה,ת. מרכזית פ''ת/הורדה,43.0,15.787,13:57:00,14:50:20,53,108.0,55.0,17.9,8.8,59209373
64490,09/01/2024,שלישי,16:00,12,מסוף עתידים-תל אביב יפו<->קריית חינוך-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף עתידים,תל אביב יפו,קריית חינוך,46.0,13.624,16:15:00,16:59:08,44,61.0,17.0,18.6,13.4,58996209
102715,11/01/2024,חמישי,16:00,71,מסוף קניון הזהב-ראשון לציון<->קריית חינוך-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,ראשון לציון,מסוף קניון הזהב,תל אביב יפו,קריית חינוך,45.0,19.688,16:00:00,16:55:59,56,83.0,27.0,21.1,14.2,59223258
17680,08/01/2024,שני,09:00,111,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->שדרות החשמונאים/לב העיר-מודיעין מכבים רעות-20,2.0,0,קווים,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,מודיעין מכבים רעות,שדרות החשמונאים/לב העיר,21.0,33.336,09:00:00,09:41:59,42,64.0,22.0,47.6,31.3,58718954
76152,10/01/2024,רביעי,09:00,5,משרד הרישוי/הלוחמים-חולון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,34.0,11.329,09:24:00,10:05:59,42,56.0,14.0,16.2,12.1,59064325
23537,08/01/2024,שני,14:00,46,ת. רכבת תל אביב סבידור/על פרשת דרכים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת תל אביב סבידור/על פרשת דרכים,בת ים,מסוף בית העלמין/הורדה,50.0,15.169,14:02:00,14:53:50,52,81.0,29.0,17.5,11.2,58753932
22271,08/01/2024,שני,13:00,390,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. מרכזית אילת/הורדה-אילת-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,אילת,ת. מרכזית אילת/הורדה,39.0,312.848,13:00:00,17:33:59,274,317.0,43.0,68.5,59.2,58746307
90767,11/01/2024,חמישי,05:00,82,הכובשים/דניאל-תל אביב יפו<->בית רבקה-פתח תקווה-20,2.0,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,פתח תקווה,בית רבקה,44.0,15.191,05:24:00,06:11:59,48,78.0,30.0,19.0,11.7,59151004
60209,09/01/2024,שלישי,12:00,9,מסוף הטייסים-תל אביב יפו<->קריית חינוך-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,קריית חינוך,41.0,14.458,12:20:00,13:03:28,43,70.0,27.0,20.2,12.4,58970118
50079,09/01/2024,שלישי,03:00,89,מסוף קריית שרת-חולון<->משמר הירדן/טורקוב-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,מסוף קריית שרת,תל אביב יפו,משמר הירדן/טורקוב,49.0,19.583,03:48:00,04:46:59,59,69.0,10.0,19.9,17.0,58911726
23200,08/01/2024,שני,13:00,606,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->ת. רכבת נתניה-נתניה-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,נתניה,ת. רכבת נתניה,54.0,37.728,13:45:00,14:59:25,74,121.0,47.0,30.6,18.7,58751930
41085,08/01/2024,שני,12:00,74,ת. רכבת הראשונים-ראשון לציון<->מסוף רדינג/הורדה-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,ראשון לציון,ת. רכבת הראשונים,תל אביב יפו,מסוף רדינג/הורדה,37.0,20.077,12:35:00,13:29:59,55,83.0,28.0,21.9,14.5,58857598
106777,11/01/2024,חמישי,21:00,14,משרד הרישוי/הלוחמים-חולון<->קאנטרי דקל-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,קאנטרי דקל,39.0,11.373,21:05:00,21:49:59,45,46.0,1.0,15.2,14.8,59249142
38330,08/01/2024,שני,10:00,52,מסוף עתידים-תל אביב יפו<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף עתידים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,37.0,11.444,10:05:00,10:42:59,38,53.0,15.0,18.1,13.0,58840885
89384,11/01/2024,חמישי,04:00,57,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,רמת גן,איצטדיון וינטר,40.0,12.141,04:25:00,05:09:59,45,59.0,14.0,16.2,12.3,59143297
100885,11/01/2024,חמישי,14:00,64,מסוף כרמלית-תל אביב יפו<->הרב עובדיה יוסף/שלום צלח-פתח תקווה-21,2.0,1,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף כרמלית,פתח תקווה,הרב עובדיה יוסף/שלום צלח,49.0,18.78,14:15:00,15:14:59,60,89.0,29.0,18.8,12.7,59211916
93784,11/01/2024,חמישי,07:00,90,השונית/יורדי ים-הרצליה<->יוסף לוי/הכובשים-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,הרצליה,השונית/יורדי ים,תל אביב יפו,יוסף לוי/הכובשים,30.0,15.649,07:55:00,08:36:21,41,62.0,21.0,22.9,15.1,59168975
80277,10/01/2024,רביעי,13:00,5,משרד הרישוי/הלוחמים-חולון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,34.0,11.329,13:05:00,13:46:59,42,70.0,28.0,16.2,9.7,59089355
65275,09/01/2024,שלישי,17:00,40,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון אגד/חורשת היובל,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,47.0,18.185,17:05:00,18:02:06,57,73.0,16.0,19.1,14.9,59001389
95451,11/01/2024,חמישי,09:00,52,מסוף עתידים-תל אביב יפו<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף עתידים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,37.0,11.444,09:30:00,10:07:59,38,63.0,25.0,18.1,10.9,59178713
14195,08/01/2024,שני,05:00,46,מסוף בית העלמין/איסוף-בת ים<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,48.0,15.233,05:50:00,06:41:59,52,80.0,28.0,17.6,11.4,58698631
46399,08/01/2024,שני,17:00,249,מסוף כרמלית-תל אביב יפו<->תחנה מרכזית כפ''ס/הורדה-כפר סבא-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית,כפר סבא,תחנה מרכזית כפ''ס/הורדה,39.0,28.247,17:35:00,18:33:31,59,68.0,9.0,28.7,24.9,58890356
