date,day,hour_rounded,line_num,line_name,route_id,direction,alternative,agency_name,route_type,origin_city,origin_station,destination_city,destination_station,number_of_stops,route_length_km,departure_time_planned,arrival_time_planned,duration_min_planned,duration_min_actual,duration_difference_min,speed_kmh_planned,speed_kmh_actual,SIRI_id
2024-01-05,Friday,2,186,מגרש כדורגל-אריאל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-1#,9251,1,#,Tnufa,bus,אריאל,מגרש כדורגל,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,59,49.513,02:50:00,04:25:21,95,81.0,-14.0,31.3,36.7,58602040
2024-01-05,Friday,2,42,ת.רק''ל הקוממיות/דרך בגין-בת ים<->מסוף עתידים-תל אביב יפו-20,2457,2,0,Dan,bus,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,מסוף עתידים,51,19.392,02:55:00,04:01:59,67,76.0,9.0,17.4,15.3,58602043
2024-01-05,Friday,2,451,ת. מרכזית רמלה/רציפים-רמלה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-10,11933,1,0,Kavim,bus,רמלה,ת. מרכזית רמלה/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,31,19.76,02:55:00,03:33:59,39,34.0,-5.0,30.4,34.9,58602049
2024-01-05,Friday,2,36,החרושת/מעלה המגדל-אור יהודה<->מסוף רדינג/הורדה-תל אביב יפו-20,963,2,0,Kavim,bus,אור יהודה,החרושת/מעלה המגדל,תל אביב יפו,מסוף רדינג/הורדה,42,15.534,02:55:00,03:42:59,48,55.0,7.0,19.4,16.9,58602051
2024-01-05,Friday,3,300,ת. מרכזית אשקלון רציפים/בינעירוני-אשקלון<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,7395,2,#,Egged,bus,אשקלון,ת. מרכזית אשקלון רציפים/בינעירוני,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,15,53.662,03:00:00,04:04:59,65,56.0,-9.0,49.5,57.5,58602062
2024-01-05,Friday,3,60,מסוף עמידר-רמת גן<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2509,2,0,Dan,bus,רמת גן,מסוף עמידר,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,23,8.623,03:00:00,03:29:20,29,28.0,-1.0,17.8,18.5,58602063
2024-01-05,Friday,3,61,מסוף עמידר-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2512,2,0,Dan,bus,רמת גן,מסוף עמידר,תל אביב יפו,מסוף כרמלית/הורדה,35,11.29,03:00:00,03:39:59,40,43.0,3.0,16.9,15.8,58602064
2024-01-05,Friday,3,82,בית רבקה-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,2566,1,0,Dan,bus,פתח תקווה,בית רבקה,תל אביב יפו,מסוף כרמלית/הורדה,42,15.539,03:00:00,03:47:59,48,52.0,4.0,19.4,17.9,58602066
2024-01-05,Friday,3,42,מסוף עתידים-תל אביב יפו<->ת.רק''ל הקוממיות/דרך בגין-בת ים-10,2454,1,0,Dan,bus,תל אביב יפו,מסוף עתידים,בת ים,ת.רק''ל הקוממיות/דרך בגין,54,19.491,03:00:00,04:02:59,63,71.0,8.0,18.6,16.5,58602071
2024-01-05,Friday,2,40,חניון אגד/חורשת היובל-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2450,2,0,Dan,bus,חולון,חניון אגד/חורשת היובל,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,47,18.185,02:55:00,03:52:06,57,57.0,0.0,19.1,19.1,58602072
